products_titles,product_img,product_price,product_about,Product_categories,product_quantity
Lenovo Legion 5 Pro AMD AMD Ryzen 7 Octa Core 6800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NV...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/y/b/-original-imagu3kmbpmhgjnp.jpeg?q=70,180490,"AMD Ryzen 7 Octa Core Processor
32 GB DDR5 RAM
Windows 11 Operating System
1 TB SSD
40.64 cm (16 Inch) Display
3 Years Onsite Warranty + 1 Year Accidental Damage Protection + 3 Years Legion Ultimate Support
",Electronics,0
Lenovo LOQ Intel Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/t/3/-original-imagtvudxzzyhxhc.jpeg?q=70,114990,"Intel Core i7 Processor (13th Gen)
16 GB DDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
Microsoft Office Home & Student 2021
1 Year Onsite Warranty
",Electronics,0
HP Envy x360 Creator OLED Eyesafe Intel Evo Intel Core i7 12th Gen 1250U - (16 GB/1 TB SSD/Windows 11 ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/k/z/x360-bf0058tu-thin-and-light-laptop-hp-original-imagh4ypj3ujgska.jpeg?q=70,114490,"Intel Core i7 Processor (12th Gen)
16 GB LPDDR4X RAM
Windows 11 Operating System
1 TB SSD
33.78 cm (13.3 Inch) Touchscreen Display
1 Year Onsite Warranty
",Electronics,0
Ultimus Pro Intel Celeron Dual Core N4020 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN-M...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/l/o/-original-imagttg5qgfyfxgd.jpeg?q=70,13990,"Intel Celeron Dual Core Processor
4 GB DDR4 RAM
Windows 11 Operating System
35.81 cm (14.1 Inch) Display
1 Year On-Site Warranty
",Electronics,0
Infinix Intel Core i5 10th Gen 1035G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70,29990,"Intel Core i5 Processor (10th Gen)
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year Onsite Warranty
",Electronics,0
Lenovo V15 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/d/i/-original-imagzhefhc84rmbf.jpeg?q=70,35990,"AMD Ryzen 5 Hexa Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty
",Electronics,0
Ultimus Intel Celeron Dual Core - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN-SG Thin and...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/c/i/-original-imagttg7qhg28yeq.jpeg?q=70,13990,"Intel Celeron Dual Core Processor
4 GB DDR4 RAM
Windows 11 Operating System
35.56 cm (14 inch) Display
1 Year Onsite Warranty
",Electronics,0
Lenovo Legion 5 Pro AMD AMD Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NV...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/d/h/-original-imagu3kmuywgt8zz.jpeg?q=70,129043,"AMD Ryzen 7 Octa Core Processor
16 GB DDR5 RAM
Windows 11 Operating System
1 TB SSD
40.64 cm (16 Inch) Display
3 Years Onsite Warranty + 1 Year Accidental Damage Protection + 3 Years Legion Ultimate Support
",Electronics,0
Acer Extensa Intel Core i3 N305 - (8 GB/512 GB SSD/Windows 11 Home) EX215-33 Notebook,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/o/r/-original-imagnc38zedzfnw6.jpeg?q=70,28990,"Intel Core i3 Processor
8 GB LPDDR5 RAM
64 bit Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year International Travelers Warranty
",Electronics,0
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/5/g/-original-imagtke7erkzwzfp.jpeg?q=70,26990,"Intel Core i3 Processor (11th Gen)
8 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
1 Year Warranty
",Electronics,0
Lenovo IdeaPad Slim 3 Intel Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/d/n/-original-imaguyhzhbhqe8qj.jpeg?q=70,47990,"Intel Core i5 Processor (11th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year Onsite Warranty + 1 Year ADP
",Electronics,0
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/x/f/-original-imagufyhwfkbcsrg.jpeg?q=70,134990,"AMD Ryzen 7 Octa Core Processor
16 GB DDR4 RAM
64 bit Windows 11 Operating System
1 TB SSD
40.64 cm (16 inch) Display
Microsoft Office Home & Student 2019
3 Years Onsite�Warranty�+ 3 Years Legion Ultimate Support + 1 Year Accidental Damage Protection
",Electronics,0
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/d/o/v15-g4-thin-and-light-laptop-lenovo-original-imagq57gsgyxxasy.jpeg?q=70,29990,"AMD Ryzen 3 Quad Core Processor
8 GB LPDDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty
",Electronics,0
HP Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 250 G8 Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/v/w/245-g8-business-laptop-hp-original-imagn4bctguugysg.jpeg?q=70,33415,"Intel Core i3 Processor (11th Gen)
8 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1Year Onsite Warranty
",Electronics,0
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/DOS) V15 G4 Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/e/e/v15-g4-thin-and-light-laptop-lenovo-original-imagq57gqharggna.jpeg?q=70,27990,"AMD Ryzen 3 Quad Core Processor
8 GB LPDDR5 RAM
DOS Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty
",Electronics,0
HP 255 G9 840T7PA AMD Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) 255 G8 Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/u/a/255-g8-notebook-hp-original-imagjhbj4jf3pjdy.jpeg?q=70,19990,"AMD Athlon Dual Core Processor
4 GB DDR4 RAM
DOS Operating System
256 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty
",Electronics,0
Lenovo LOQ AMD AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA G...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/d/t/-original-imagtvudyzs9djrf.jpeg?q=70,109990,"AMD Ryzen 7 Octa Core Processor
16 GB DDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
Microsoft Office Home & Student 2021
1 Year Onsite Warranty
",Electronics,0
MSI Katana 17 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/k/x/-original-imagtfzmyxguhhjh.jpeg?q=70,129990,"Intel Core i7 Processor (12th Gen)
16 GB DDR5 RAM
Windows 11 Operating System
1 TB SSD
43.94 cm (17.3 Inch) Display
2 Year Carry-in Warranty
",Electronics,0
ASUS Vivobook 15 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/l/t/-original-imagtucmkuwggepy.jpeg?q=70,43990,"Intel Core i5 Processor (11th Gen)
8 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty
",Electronics,0
HP 2023 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/n/j/-original-imaguegfkhrkykxb.jpeg?q=70,33490,"AMD Ryzen 3 Dual Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty
",Electronics,0
Lenovo LOQ Intel Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/q/i/-original-imagtvudqkkuvhsh.jpeg?q=70,99990,"Intel Core i7 Processor (13th Gen)
16 GB DDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
Microsoft Office Home & Student 2021
1 Year Onsite Warranty
",Electronics,0
MSI Katana 17 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/k/x/-original-imagtfzmyxguhhjh.jpeg?q=70,114990,"Intel Core i7 Processor (12th Gen)
16 GB DDR5 RAM
Windows 11 Operating System
1 TB SSD
43.94 cm (17.3 Inch) Display
1 Year Onsite Warranty
",Electronics,0
Acer Aspire 3 AMD Ryzen 3 Quad Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) A315-24P-R7HM Thin and L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/e/o/-original-imagtkzyfyzndxdn.jpeg?q=70,26990,"AMD Ryzen 3 Quad Core Processor
8 GB LPDDR5 RAM
Windows 11 Operating System
256 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty
",Electronics,0
Infinix INBook Y1 Plus Intel Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/c/4/-original-imagmxurypdzh2zb.jpeg?q=70,25990,"Intel Core i3 Processor (10th Gen)
8 GB LPDDR4X RAM
64 bit Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year Onsite Warranty
",Electronics,0
